Unnamed: 0.1,Unnamed: 0,x,y,w,h,label,z,d,s,q
0,0,300,255,348,311,1,0,0,0,0
1,1,298,258,346,310,1,0,0,0,0
2,2,298,256,346,310,1,0,0,0,0
3,3,254,246,392,316,1,0,0,0,0
4,4,299,256,347,310,1,1,0,0,0
5,5,9,232,179,304,1,1,0,0,0
6,6,298,258,348,314,1,1,0,0,0
7,7,2,242,172,334,1,1,0,0,0
8,8,256,248,390,320,1,1,0,0,0
9,9,274,272,350,306,1,1,0,0,0
10,10,288,262,346,322,1,1,1,0,0
11,11,233,264,369,342,1,1,0,0,0
12,12,10,233,252,347,1,1,0,0,0
13,13,2,238,178,386,1,0,0,0,0
14,14,-5,210,145,408,1,0,0,0,0
15,15,86,202,264,308,1,0,0,0,0
16,16,74,210,188,288,1,0,0,0,0
17,17,54,232,154,328,1,0,0,0,0
18,18,-8,206,208,358,1,0,0,0,0
19,19,-9,203,181,379,1,0,0,0,0
20,20,44,225,122,353,1,0,0,0,0
21,21,30,224,102,348,1,0,0,0,0
22,22,-3,194,195,334,1,1,0,0,0
23,23,335,254,365,274,1,0,0,0,1
24,24,192,254,204,290,1,1,0,0,0
25,25,-2,205,86,375,1,1,0,0,1
26,26,18,230,66,338,1,1,0,0,0
27,27,5,192,95,380,1,1,0,0,0
28,28,-12,206,144,382,1,1,0,0,0
29,29,-13,206,179,376,1,1,0,0,0
30,30,448,277,794,409,1,1,0,0,0
31,31,40,226,106,356,1,1,0,0,1
32,32,-6,196,142,394,1,1,0,0,1
33,33,384,270,500,366,1,0,0,0,0
34,34,626,259,650,301,1,0,0,0,0
35,35,72,190,436,476,1,0,1,0,0
36,36,620,134,658,166,1,0,1,0,0
37,37,551,132,589,162,1,0,1,0,0
38,38,676,238,710,254,1,0,1,0,0
39,39,519,124,561,162,1,1,0,0,1
40,40,720,54,762,140,1,1,0,0,0
41,41,340,262,426,302,1,1,0,0,0
42,42,690,38,796,160,1,1,0,0,0
43,43,389,262,431,280,1,1,0,0,1
44,44,424,238,626,306,1,1,0,0,1
45,45,636,221,806,307,1,1,0,0,0
46,46,310,224,484,266,1,1,0,0,0
47,47,345,238,431,258,1,1,0,0,0
48,48,250,240,426,292,1,0,0,0,0
49,49,-6,248,144,354,1,0,0,0,0
50,50,298,246,366,286,1,0,0,0,0
51,51,526,192,770,266,1,1,0,0,0
52,52,333,264,437,314,1,1,0,0,1
53,53,51,254,367,324,1,1,0,0,1
54,54,170,264,284,316,1,1,0,0,1
55,55,14,254,286,324,1,1,0,0,0
56,56,4,273,218,335,1,1,0,0,0
57,57,18,272,80,302,1,1,0,0,0
58,58,512,262,814,370,1,1,0,0,1
59,59,394,261,790,405,1,0,0,0,1
60,60,562,284,584,302,1,0,0,0,1
61,61,581,282,601,302,1,0,0,0,1
62,62,484,220,808,414,1,1,0,0,1
63,63,27,305,49,317,1,1,0,0,1
64,64,478,294,542,342,1,1,0,0,0
65,65,427,283,595,353,1,1,0,0,1
66,66,538,282,788,388,1,1,0,0,0
67,67,732,244,784,270,1,1,0,0,0
68,68,376,248,400,262,1,1,0,0,0
69,69,677,242,701,258,1,1,0,0,0
70,70,734,204,782,234,1,1,1,0,0
71,71,319,224,349,240,1,1,1,0,0
72,72,656,207,686,223,1,1,1,0,0
73,73,270,229,300,249,1,1,0,0,0
74,74,721,209,781,243,1,1,0,0,0
75,75,634,212,666,230,1,1,0,0,0
76,76,501,261,565,283,1,1,0,0,0
77,77,640,243,730,299,1,1,0,0,0
78,78,622,256,686,284,1,1,1,0,0
79,79,481,64,491,92,1,1,0,0,0
80,80,14,282,72,308,1,1,0,0,0
81,81,657,76,669,104,1,1,0,0,0
82,82,614,202,636,216,1,1,0,0,0
83,83,556,294,716,376,1,0,0,0,0
84,84,634,224,696,258,1,1,0,0,0
85,85,250,192,280,210,1,0,0,1,0
86,86,210,192,260,216,1,0,0,0,1
87,87,158,228,218,268,1,0,0,0,1
88,88,122,208,254,276,1,0,0,0,1
89,89,528,248,564,330,1,1,0,0,1
90,90,525,122,679,476,1,1,0,0,1
91,91,31,226,71,298,1,1,0,0,1
92,92,164,254,196,316,1,0,0,0,1
93,93,490,224,526,304,1,1,0,0,1
94,94,732,253,748,279,1,1,0,0,0
95,95,12,323,60,347,1,1,0,0,0
96,96,677,204,699,224,1,1,0,0,0
97,97,692,190,796,320,1,1,0,0,0
98,98,158,206,282,312,1,1,0,0,0
99,99,195,226,247,294,1,1,0,0,0
