,x0,x1,x2,x3,x4,x5,x6,x7,z,d,s,q
0,44,325,388,252,588,303,794,361,0,0,0,0
1,183,271,321,250,432,263,722,314,0,0,0,0
2,121,285,181,276,444,258,779,317,0,0,0,0
3,389,310,146,490,424,271,797,343,0,0,0,0
4,389,310,146,490,571,280,798,328,0,0,0,0
5,389,310,146,490,491,262,798,321,1,0,0,0
6,10,498,134,480,553,292,796,339,1,0,0,0
7,389,310,146,490,545,283,798,323,1,0,0,0
8,117,314,244,294,552,297,680,320,1,0,0,0
9,389,310,146,490,506,293,798,376,1,0,0,0
10,128,474,157,468,564,307,792,381,1,0,0,0
11,389,310,146,490,588,303,794,361,1,0,0,1
12,389,310,146,490,588,303,794,361,1,0,0,1
13,27,368,161,347,588,303,794,361,1,0,0,1
14,172,292,332,250,588,303,794,361,1,0,0,1
15,10,442,224,377,453,347,709,387,1,0,0,0
16,10,401,328,334,676,333,798,352,1,0,0,0
17,11,334,85,322,404,305,655,372,1,0,0,1
18,10,332,221,272,588,303,794,361,1,0,0,0
19,10,397,334,298,601,291,798,333,1,0,0,0
20,389,310,146,490,521,283,798,363,1,0,0,0
21,10,310,188,281,575,302,798,361,1,0,0,0
22,389,310,146,490,449,250,798,311,1,0,0,0
23,96,491,316,437,420,264,742,315,1,0,0,0
24,389,310,146,490,488,269,797,317,1,1,0,0
25,11,325,398,250,588,303,794,361,1,0,0,0
26,389,310,146,490,430,270,798,328,0,0,0,0
27,389,310,146,490,536,290,773,340,0,0,0,0
28,389,310,146,490,432,268,798,345,0,0,0,0
29,389,310,146,490,588,303,794,361,0,0,0,0
30,389,310,146,490,656,311,793,345,0,0,0,0
31,10,339,203,305,588,303,794,361,0,0,1,0
32,389,310,146,490,588,303,794,361,0,0,0,0
33,146,371,297,324,588,303,794,361,1,0,0,1
34,32,354,214,326,588,303,794,361,1,0,0,1
35,389,310,146,490,517,326,601,340,1,0,0,0
36,389,310,146,490,588,303,794,361,1,0,0,0
37,11,324,188,283,588,303,794,361,0,0,1,0
38,10,341,211,299,539,300,767,336,0,0,1,0
39,10,331,217,287,459,292,647,322,0,1,1,0
40,10,411,393,336,718,320,798,332,1,0,0,0
41,10,401,396,319,588,303,794,361,1,1,0,0
42,10,359,232,312,585,328,674,343,1,0,0,0
43,389,310,146,490,455,335,798,396,1,0,0,0
44,389,310,146,490,588,303,794,361,0,0,0,0
45,389,310,146,490,547,262,725,293,0,1,0,0
46,10,355,213,319,412,408,622,441,1,0,0,0
47,389,310,146,490,554,290,798,333,1,0,0,0
48,389,310,146,490,401,334,798,455,0,1,0,0
49,10,401,399,289,588,303,794,361,1,0,0,0
50,61,338,393,250,474,254,643,289,1,0,0,0
51,389,310,146,490,588,303,794,361,0,1,0,0
52,27,500,151,479,588,303,794,361,1,1,0,0
53,62,475,392,417,588,303,794,361,1,0,0,0
54,13,496,226,463,614,476,671,486,1,0,0,0
55,11,368,268,319,589,332,798,396,1,0,0,0
56,10,424,195,378,588,303,794,361,1,1,0,0
57,389,310,146,490,588,303,794,361,1,0,0,0
58,389,310,146,490,420,359,716,427,1,0,0,0
59,389,310,146,490,588,303,794,361,1,0,0,0
60,389,310,146,490,588,303,794,361,1,0,0,0
61,389,310,146,490,588,303,794,361,1,0,0,0
62,54,325,273,282,588,303,794,361,1,0,0,1
63,45,352,360,285,482,287,762,357,1,0,0,0
64,10,421,350,311,575,306,798,365,0,0,1,0
65,389,310,146,490,588,303,794,361,0,0,1,0
66,389,310,146,490,681,467,795,489,1,0,0,0
67,30,499,96,483,415,437,653,500,1,0,0,0
68,10,492,348,402,436,404,797,468,1,0,0,0
69,389,310,146,490,588,303,794,361,1,0,0,0
70,10,445,274,365,698,408,792,422,0,0,0,1
71,10,448,207,410,588,303,794,361,1,0,0,1
72,11,312,335,250,510,292,720,360,1,0,0,1
73,10,394,354,289,612,297,788,337,1,1,0,0
74,34,375,330,291,477,253,664,310,1,0,0,0
75,10,342,363,267,451,257,798,337,1,0,0,0
76,10,335,308,277,407,250,798,326,1,0,0,0
77,10,347,373,250,518,295,798,355,1,0,0,0
78,10,343,360,250,481,285,796,363,1,0,0,0
79,10,379,386,286,494,264,795,317,1,1,0,0
80,10,361,338,285,588,303,794,361,1,0,0,0
81,10,364,299,292,588,303,794,361,1,0,0,0
82,389,310,146,490,588,303,794,361,1,0,0,0
83,389,310,146,490,588,303,794,361,0,0,0,1
84,10,418,70,408,588,303,794,361,0,0,0,1
85,49,323,188,301,588,303,794,361,1,0,0,1
86,115,349,281,317,744,421,798,429,1,0,0,0
87,389,310,146,490,437,310,719,354,0,0,0,1
88,24,499,87,484,402,250,694,301,1,0,0,0
89,389,310,146,490,422,324,730,383,1,1,0,0
90,10,375,233,320,468,288,678,325,1,0,0,0
91,13,301,337,250,411,346,789,426,1,0,0,1
92,389,310,146,490,401,250,703,298,1,1,0,0
93,14,364,334,314,588,303,794,361,1,0,0,0
94,389,310,146,490,537,260,798,340,1,0,0,0
95,389,310,146,490,520,253,798,338,1,0,0,0
96,389,310,146,490,536,256,796,325,1,0,0,0
97,389,310,146,490,432,263,798,334,1,0,0,0
98,70,424,253,382,501,288,797,367,1,0,0,0
99,389,310,146,490,571,325,798,394,1,0,0,1
100,389,310,146,490,527,294,798,367,1,0,0,0
101,389,310,146,490,510,280,798,373,1,1,0,0
102,43,317,288,279,540,293,798,352,1,0,0,0
103,32,364,316,288,492,284,798,377,0,0,0,0
104,11,388,317,289,588,303,794,361,0,1,1,0
105,146,401,313,360,588,303,794,361,0,1,0,0
106,389,310,146,490,636,338,798,384,0,0,1,0
107,389,310,146,490,532,368,669,412,1,0,0,0
108,389,310,146,490,588,303,794,361,1,1,0,0
109,389,310,146,490,493,323,798,371,1,0,0,0
110,10,425,169,391,648,309,798,346,1,0,0,0
111,51,345,286,308,588,303,794,361,1,1,0,0
112,10,373,390,278,517,264,798,334,1,0,0,0
113,10,370,308,279,453,259,798,326,1,1,0,0
114,10,346,241,288,418,267,798,341,1,0,0,0
115,10,323,325,250,478,274,775,326,1,0,0,0
116,10,384,241,314,618,289,798,334,1,0,0,0
117,389,310,146,490,589,312,796,379,1,0,0,0
118,389,310,146,490,671,329,798,366,1,1,0,0
119,389,310,146,490,588,303,794,361,0,0,1,0
120,389,310,146,490,573,266,798,318,0,0,0,0
121,10,300,133,281,477,293,796,396,0,0,1,0
122,389,310,146,490,492,261,798,343,0,0,0,0
123,389,310,146,490,475,250,797,306,0,0,1,0
124,389,310,146,490,569,292,798,357,0,0,0,0
125,389,310,146,490,581,305,798,376,0,0,0,0
126,35,500,128,486,588,303,794,361,0,0,0,0
127,20,500,154,470,588,303,794,361,0,0,0,0
128,10,499,153,477,588,303,794,361,0,0,0,0
129,40,500,111,479,588,303,794,361,0,0,0,0
130,52,500,154,484,588,303,794,361,0,0,0,0
131,39,500,153,470,588,303,794,361,0,0,0,0
132,42,294,299,257,624,319,798,369,0,0,0,0
133,23,500,94,479,624,319,798,369,0,0,0,0
134,60,291,289,258,621,317,794,370,0,0,0,0
135,10,300,118,284,632,323,797,370,0,0,0,0
136,10,300,191,272,624,319,798,369,0,0,0,0
137,27,500,94,479,626,320,798,370,0,0,0,0
138,19,298,262,263,621,317,795,370,0,0,0,0
139,10,301,209,270,624,319,798,369,0,0,0,0
140,56,500,153,480,528,387,631,407,0,0,0,0
141,128,500,160,493,455,395,631,432,0,0,0,0
142,19,500,86,479,628,321,798,370,1,0,0,0
143,12,300,214,265,619,325,798,373,1,0,0,0
144,109,292,259,258,584,282,779,312,1,0,0,0
145,11,306,266,257,698,345,798,374,1,1,0,0
