,x,y,w,h,label,z,d,s,q
0,2,254,200,334,car,0,0,0,0
1,426,264,446,274,car,1,0,0,0
2,366,266,390,280,car,1,1,0,0
3,92,260,252,350,car,1,0,0,0
4,660,132,672,160,traffic light,1,0,0,0
5,422,214,444,228,car,1,0,0,1
6,584,254,608,274,car,1,0,0,0
7,20,280,82,306,car,1,0,0,0
8,364,256,382,270,car,1,0,0,1
9,298,30,308,58,traffic light,1,0,0,1
10,675,258,693,274,car,1,0,0,0
11,720,244,780,278,truck,1,0,0,0
12,88,259,116,275,car,1,0,0,0
13,136,254,150,276,person,1,0,0,0
14,195,240,217,256,car,0,0,0,0
15,118,250,148,270,car,0,0,0,0
16,19,269,75,301,car,0,0,1,0
17,162,246,230,296,car,0,0,0,0
18,4,226,100,368,car,0,0,0,0
19,660,214,676,238,person,0,0,0,0
20,56,253,166,325,car,0,1,0,0
21,480,261,588,303,car,1,0,0,0
22,192,256,222,270,car,1,0,0,0
23,466,287,488,301,car,1,0,0,0
24,608,282,632,298,car,1,0,0,0
25,458,274,484,286,car,1,0,0,0
26,196,277,220,291,car,1,0,0,0
27,460,318,798,402,surfboard,1,0,0,0
28,238,262,294,324,car,0,0,0,0
29,474,280,486,304,person,0,0,0,0
30,38,196,376,372,car,1,0,0,0
31,-22,175,292,525,car,1,1,0,0
32,711,250,779,282,car,0,1,0,0
33,407,143,739,295,bus,1,0,0,0
34,636,242,648,270,person,0,1,0,0
35,552,204,566,238,person,1,0,0,0
36,218,255,244,293,person,1,1,0,0
37,143,217,153,255,person,1,0,0,0
38,84,216,94,252,person,1,1,0,0
39,652,168,806,350,bus,1,0,0,0
40,710,202,782,232,car,0,0,0,1
41,632,252,800,342,car,1,0,0,0
42,690,231,796,375,car,1,0,0,0
43,376,91,388,113,traffic light,1,0,0,0
44,13,132,25,160,traffic light,1,0,0,0
45,635,256,689,282,car,1,1,0,0
46,310,228,334,242,car,0,0,0,1
47,632,226,696,246,car,0,0,0,1
48,5,228,173,284,car,1,0,0,0
49,52,238,120,278,car,1,0,0,0
50,724,253,736,283,person,1,1,0,0
51,678,284,690,304,person,0,0,1,0
52,558,208,584,220,car,1,0,0,1
53,198,282,208,314,person,0,0,0,1
54,495,264,505,298,person,1,0,0,1
55,700,263,722,301,person,1,0,0,1
56,768,262,786,310,person,1,0,0,1
57,420,296,458,342,person,1,0,0,0
58,273,238,299,278,person,0,1,1,0
59,224,242,256,288,person,0,1,1,0
60,646,118,660,152,traffic light,0,0,0,1
61,510,158,520,186,traffic light,0,0,0,1
62,720,212,732,242,person,1,0,0,0
63,70,261,94,275,car,1,0,0,0
64,144,262,170,276,car,1,0,0,0
65,666,242,676,280,person,1,0,0,1
66,242,120,254,138,traffic light,0,0,1,0
67,190,42,204,66,traffic light,0,0,1,1
68,284,56,294,86,traffic light,1,0,0,0
69,432,266,454,276,car,1,0,0,0
70,600,127,614,143,traffic light,1,0,0,0
71,718,111,732,129,traffic light,1,0,0,0
72,188,225,200,259,person,1,0,0,0
73,266,29,378,135,clock,1,0,0,0
74,37,56,97,150,clock,1,0,0,0
75,772,222,782,250,person,1,0,0,0
76,268,281,278,311,person,1,0,0,0
77,149,219,179,267,person,0,0,1,1
78,122,233,156,285,person,0,0,1,0
79,132,250,170,324,person,0,0,0,0
80,142,252,180,332,person,0,0,0,0
81,138,248,176,332,person,0,0,0,0
82,117,246,157,340,person,0,0,0,0
83,82,194,176,410,person,0,0,0,0
84,110,232,150,374,person,0,0,0,0
85,90,240,132,390,person,0,0,0,0
86,25,160,149,460,person,0,0,0,0
87,7,154,131,520,person,0,0,0,0
88,8,239,34,331,person,0,0,0,0
89,522,56,558,110,clock,0,1,1,0
90,345,226,357,260,person,1,0,0,1
91,400,228,428,294,person,1,0,0,0
92,630,238,644,258,person,1,0,0,0
93,774,241,784,273,person,1,0,0,0
94,630,106,640,138,traffic light,1,0,0,0
95,707,254,717,282,person,1,0,0,1
96,30,258,64,270,car,1,0,0,1
97,649,52,661,78,traffic light,1,0,0,1
98,84,260,146,286,car,1,0,0,0
99,56,277,158,347,car,0,0,0,0
100,367,234,389,252,car,0,0,0,0
101,288,198,588,302,car,0,0,0,0
102,638,226,662,246,car,1,0,0,0
103,505,262,567,288,truck,1,0,0,0
104,353,268,403,294,car,1,0,0,0
105,564,239,584,255,car,1,0,0,0
106,427,253,499,291,car,1,0,0,0
107,562,251,584,267,car,1,0,0,0
108,349,235,373,249,car,1,0,0,0
109,536,240,562,254,car,1,0,0,0
110,280,235,312,257,car,1,0,0,0
111,630,272,696,314,car,1,0,0,0
112,-12,239,142,349,car,1,0,0,0
113,267,258,293,272,car,1,0,0,0
114,4,220,164,316,car,1,0,0,0
115,135,267,157,277,car,1,0,0,1
116,190,266,252,298,car,1,0,0,1
117,470,254,488,268,car,0,0,1,0
118,349,260,369,272,car,0,0,1,0
119,171,215,293,299,car,0,0,0,0
120,303,236,329,258,car,0,0,0,0
121,192,254,558,420,car,1,1,0,0
