,x,y,w,h,label,z,d,s,q
0,0,0,0,0,none,0,0,0,0
1,0,0,0,0,none,0,0,0,0
2,0,0,0,0,none,0,0,0,0
3,0,0,0,0,none,0,0,0,0
4,0,0,0,0,none,0,0,0,0
5,0,0,0,0,none,0,0,0,0
6,0,0,0,0,none,0,0,0,0
7,0,0,0,0,none,0,0,0,0
8,0,0,0,0,none,0,0,0,0
9,0,0,0,0,none,0,0,0,0
10,0,0,0,0,none,0,0,0,0
11,0,0,0,0,none,0,0,0,0
12,0,0,0,0,none,0,0,0,0
13,0,0,0,0,none,0,0,0,0
14,0,0,0,0,none,0,0,0,0
15,0,0,0,0,none,0,0,0,0
16,0,0,0,0,none,0,0,0,0
17,0,0,0,0,none,0,0,0,0
18,0,0,0,0,none,1,0,0,0
19,0,0,0,0,none,1,0,0,0
20,183,311,207,323,car,1,0,0,0
21,184,310,206,324,car,1,0,0,0
22,0,0,0,0,none,1,0,0,0
23,183,319,205,331,car,1,0,0,0
24,178,320,202,334,car,1,0,0,0
25,684,300,746,324,car,1,0,0,0
26,0,0,0,0,none,1,0,0,0
27,150,298,178,312,car,1,0,0,0
28,711,284,773,306,car,1,0,0,0
29,416,416,612,480,frisbee,1,0,0,0
30,0,0,0,0,none,1,0,0,0
31,0,0,0,0,none,1,0,0,0
32,49,273,123,301,car,1,0,0,1
33,19,263,87,299,car,1,0,0,0
34,404,70,414,96,car,1,0,0,0
35,4,236,176,334,car,1,0,0,0
36,6,236,176,366,car,1,0,0,0
37,-2,212,112,386,car,1,1,0,0
38,190,212,274,274,car,1,0,0,0
39,0,0,0,0,none,1,0,0,0
40,0,0,0,0,none,1,1,0,0
41,0,0,0,0,none,1,0,0,0
42,0,0,0,0,none,1,0,0,0
43,164,260,190,276,car,1,0,0,0
44,0,0,0,0,none,1,0,0,0
45,20,254,76,282,car,1,0,0,0
46,0,0,0,0,none,1,0,0,0
47,0,0,0,0,none,1,0,0,0
48,0,0,0,0,none,1,0,0,0
49,0,0,0,0,none,1,0,0,0
50,0,0,0,0,none,1,0,0,0
51,0,0,0,0,none,1,0,0,0
52,93,261,119,275,car,1,0,0,0
53,66,264,94,278,car,1,0,0,0
54,11,259,33,281,car,1,0,0,1
55,0,0,0,0,none,1,1,0,0
56,21,272,81,294,car,1,0,0,0
57,286,262,306,278,car,1,0,0,0
58,198,272,222,288,car,1,0,0,0
59,0,0,0,0,none,1,0,0,0
60,14,231,64,265,car,1,0,0,0
61,0,0,0,0,none,1,0,0,0
62,0,0,0,0,none,0,0,0,0
63,0,0,0,0,none,0,0,0,0
64,0,0,0,0,none,1,0,0,0
65,0,0,0,0,none,1,0,0,0
66,0,0,0,0,none,1,0,0,0
67,0,0,0,0,none,1,1,0,0
68,0,0,0,0,none,1,0,0,0
69,0,0,0,0,none,1,0,0,1
70,0,0,0,0,none,1,0,0,0
71,0,0,0,0,none,1,0,0,0
72,0,0,0,0,none,0,0,0,0
73,0,0,0,0,none,0,0,1,0
74,0,0,0,0,none,0,0,1,0
75,0,0,0,0,none,0,1,1,0
76,0,0,0,0,none,0,1,0,0
77,0,0,0,0,none,1,0,0,0
78,0,0,0,0,none,0,0,0,0
79,308,275,336,285,car,0,0,0,0
80,0,0,0,0,none,0,0,0,0
81,0,0,0,0,none,1,0,0,0
82,20,307,82,329,car,0,0,0,0
83,208,304,252,322,car,0,0,0,0
84,148,308,180,324,car,0,0,0,0
85,50,307,90,325,car,0,0,1,0
86,0,0,0,0,none,0,0,0,0
87,0,0,0,0,none,1,0,0,0
88,0,0,0,0,none,1,0,0,0
89,0,0,0,0,none,1,0,0,1
90,0,0,0,0,none,1,0,0,0
91,0,0,0,0,none,1,0,0,0
92,0,0,0,0,none,1,0,0,0
93,0,0,0,0,none,1,0,0,1
94,0,0,0,0,none,1,0,0,1
95,0,0,0,0,none,0,0,0,0
96,0,0,0,0,none,0,0,0,0
97,0,0,0,0,none,1,0,0,0
98,0,0,0,0,none,1,0,0,0
99,204,266,272,290,car,0,0,0,1
100,383,73,397,99,traffic light,0,1,1,0
101,312,260,380,288,traffic light,0,1,1,0
102,474,234,528,282,car,0,0,0,0
103,552,20,568,50,car,0,0,0,0
104,435,212,559,296,car,0,0,0,0
105,384,232,452,286,car,0,0,0,0
106,338,218,498,302,car,0,0,0,0
107,326,233,398,297,car,0,0,0,1
108,317,210,505,312,truck,0,0,0,1
109,28,237,58,253,truck,0,0,0,1
110,404,211,594,311,car,1,0,0,1
111,456,212,672,328,car,1,0,0,0
112,521,232,615,308,car,1,0,0,0
113,26,242,172,286,car,1,0,0,0
114,8,247,176,291,car,1,0,0,0
115,523,217,777,343,car,1,0,0,0
116,596,237,708,321,car,1,0,0,0
117,628,236,736,336,car,1,0,0,0
118,16,256,82,282,car,1,0,0,0
119,518,256,542,268,car,1,0,0,0
120,587,212,789,396,car,1,0,0,0
121,650,254,742,364,car,1,0,0,0
122,638,220,794,382,car,1,0,0,0
123,0,0,0,0,none,1,1,0,0
124,157,270,229,290,car,1,1,0,0
125,0,0,0,0,none,1,0,0,0
126,0,0,0,0,none,1,0,0,0
127,0,0,0,0,none,1,0,0,0
128,0,0,0,0,none,1,0,0,1
129,0,0,0,0,none,1,1,0,0
130,0,0,0,0,none,0,0,0,0
131,0,0,0,0,none,0,0,1,0
132,0,0,0,0,none,0,0,0,0
133,0,0,0,0,none,1,0,0,0
134,0,0,0,0,none,1,0,0,0
135,0,0,0,0,none,1,0,0,0
136,0,0,0,0,none,1,0,0,0
137,0,0,0,0,none,1,0,0,0
138,0,0,0,0,none,1,0,0,0
139,0,0,0,0,none,1,0,0,0
140,517,255,537,267,car,1,0,0,0
141,528,256,548,268,car,0,0,0,0
142,406,232,430,250,car,0,0,0,0
143,0,0,0,0,none,0,0,0,0
144,346,238,376,258,car,0,0,0,0
145,460,242,480,258,car,0,0,0,0
146,332,243,386,267,car,0,0,1,0
147,464,239,488,255,car,0,0,1,0
148,522,235,550,253,car,0,0,1,0
149,368,230,434,262,car,0,0,1,0
150,394,206,518,288,car,0,0,1,0
151,591,227,617,245,car,0,0,1,0
152,440,218,500,282,car,0,0,1,0
153,609,225,637,245,car,0,0,1,0
154,424,218,548,298,car,0,0,0,0
155,624,234,648,254,car,0,0,0,0
156,455,240,513,298,car,0,0,0,0
157,618,242,642,260,car,0,0,0,0
158,442,242,502,298,car,1,0,0,0
159,620,244,646,258,car,1,0,0,0
160,640,251,668,267,car,1,1,0,0
161,625,252,649,266,car,1,1,0,0
162,435,254,501,310,car,1,1,0,0
163,652,253,682,267,car,1,1,0,0
164,381,252,461,284,car,1,1,0,0
165,642,252,674,268,car,1,1,0,0
166,266,238,404,304,car,1,1,0,0
167,584,252,612,268,car,1,1,0,0
168,148,255,208,309,car,1,0,0,1
169,372,250,396,264,car,1,0,0,1
170,400,254,426,270,car,1,0,0,0
171,223,251,245,265,car,1,1,0,0
172,38,250,192,328,car,1,1,0,0
173,227,254,357,332,car,1,0,0,0
174,253,270,311,318,car,1,0,0,0
175,123,258,287,342,car,1,0,0,0
176,168,280,240,330,car,1,0,0,0
177,2,244,164,348,car,1,0,0,0
178,6,246,112,380,car,1,0,0,0
179,32,270,84,352,car,1,0,0,0
180,25,248,65,340,car,1,0,0,0
181,1,228,97,366,car,1,0,0,0
182,0,0,0,0,none,1,0,0,0
183,0,0,0,0,none,1,0,0,0
184,0,0,0,0,none,1,1,0,0
185,0,0,0,0,none,1,1,0,0
